Department,Municipality,Total 2005,Households 2005
Caquetá,La Montañita,15725,3617
Caquetá,Milán,7421,1807
Caquetá,Morelia,3580,833
Caquetá,Puerto Rico,17924,4505
Caquetá,San José del Fragua,9363,2275
Caquetá,San Vicente del Caguán,42374,8977
Caquetá,Solano,10625,2123
Caquetá,Solita,7397,1780
Caquetá,Valparaíso,7645,1856
Cauca,Popayán,258653,67424
Cauca,Almaguer,18393,4637
Cauca,Argelia,290,
Cauca,Balboa,23699,6018
Cauca,Bolívar,43461,10724
Cauca,Buenos Aires,22804,4825
Cauca,Cajibío,34818,8580
Cauca,Caldono,31045,7301
Cauca,Caloto,36901,9667
Cauca,Corinto,22825,5895
Cauca,El Tambo,34258,8789
Cauca,Florencia,6014,1633
Cauca,Guapi,28649,5241
Cauca,Inzá,27172,5877
Cauca,Jambaló,14831,3230
Cauca,La Sierra,10844,2849
Cauca,La Vega,33133,8152
Cauca,López,12950,3400
Cauca,Mercaderes,17670,4643
Cauca,Miranda,31967,7987
Cauca,Morales,24381,5687
Cauca,Padilla,8279,2196
Cauca,Paez,31548,7058
Cauca,Patía,20807,5690
Cauca,Piamonte,1387,
Cauca,Piendamó,36225,9291
Cauca,Puerto Tejada,44220,11107
Cauca,Puracé,14923,3489
Cauca,Rosas,11421,3293
Cauca,San Sebastián,12976,3336
Cauca,Santander de Quilichao,80653,20254
Cauca,Santa Rosa,5300,1289
Cauca,Silvia,30826,6243
Cauca,Sotara,15894,4282
Cauca,Suárez,19002,4440
Cauca,Sucre,7907,2064
Cauca,Timbío,30222,7832
Cauca,Timbiquí,17069,3460
Cauca,Toribio,26616,5520
Cauca,Totoró,17611,3753
Cauca,Villa Rica,14378,3355
Cesar,Valledupar,348990,78165
Cesar,Aguachica,80789,19194
Cesar,Agustín Codazzi,52219,12336
Cesar,Astrea,17786,3294
Cesar,Becerril,13584,3204
Cesar,Bosconia,30334,6377
Cesar,Chimichagua,30116,5990
Cesar,Chiriguaná,21494,4887
Cesar,Curumaní,26740,5983
Cesar,El Copey,24368,5165
Cesar,El Paso,20292,4355
Cesar,Gamarra,14224,3143
Cesar,González,8859,1758
Cesar,La Gloria,14173,3471
Cesar,La Jagua de Ibirico,21386,5902
Cesar,Manaure,6883,1819
Cesar,Pailitas,15578,3817
Cesar,Pelaya,15458,3572
Cesar,Pueblo Bello,16942,3424
Cesar,Río de Oro,14023,3366
Cesar,La Paz,20596,4625
Cesar,San Alberto,19656,5106
Cesar,San Diego,13390,3161
Cesar,San Martín,16921,3985
Cesar,Tamalameque,13636,3011
Córdoba,Montería,381284,84530
Córdoba,Ayapel,42629,8740
Córdoba,Buenavista,19076,4054
Córdoba,Canalete,14466,2926
Córdoba,Cereté,83978,19034
Córdoba,Chimá,13642,3069
Córdoba,Chinú,43331,9341
Córdoba,Ciénaga de Oro,53403,11201
Córdoba,Cotorra,15037,3258
Córdoba,La Apartada,12728,2840
Córdoba,Lorica,109974,23674
Córdoba,Los Córdobas,18197,3775
Córdoba,Momil,14160,3039
Córdoba,Montelíbano,69277,15202
Córdoba,Moñitos,23653,5084
Córdoba,Planeta Rica,61570,13175
Córdoba,Pueblo Nuevo,31754,6590
Córdoba,Puerto Escondido,22331,4737
Córdoba,Puerto Libertador,33966,7224
Córdoba,Purísima,14655,3153
Córdoba,Sahagún,86189,18709
Córdoba,San Andrés Sotavento,63453,10709
Córdoba,San Antero,26462,6186
Córdoba,San Bernardo del Viento,31455,7261
Córdoba,San Carlos,23762,5321
Córdoba,San Pelayo,39259,8547
Córdoba,Tierralta,78564,16456
Córdoba,Valencia,34654,7409
Cundinamarca,Agua de Dios,11515,3551
Cundinamarca,Albán,5820,1621
Cundinamarca,Anapoima,11337,3637
Cundinamarca,Anolaima,12911,4070
Cundinamarca,Arbeláez,11355,2868
Cundinamarca,Beltrán,1908,532
Cundinamarca,Bituima,2565,820
Cundinamarca,Bojacá,8788,2216
Cundinamarca,Cabrera,4557,1219
Cundinamarca,Cachipay,9737,2913
Cundinamarca,Cajicá,44721,11760
Cundinamarca,Caparrapí,13788,4111
Cundinamarca,Caqueza,15999,4155
Cundinamarca,Carmen de Carupa,8247,2116
Cundinamarca,Chaguaní,3935,1170
Cundinamarca,Chía,97444,25666
