Department,Municipality,Total 2018,Housing units 2018,Households 2018,People 2018
Boyacá,Sativasur,1097,485,385,1048
Boyacá,Siachoque,6729,2968,1942,6649
Boyacá,Soatá,9066,4664,3243,8538
Boyacá,Socotá,7298,4001,2419,7133
Boyacá,Socha,7938,3747,2579,7509
Boyacá,Sogamoso,127235,48412,41453,120462
Boyacá,Somondoco,2910,1489,1036,2377
Boyacá,Sora,3019,1174,927,2586
Boyacá,Sotaquirá,8162,4036,2570,7953
Boyacá,Soracá,5954,2411,1701,5904
Boyacá,Susacón,2717,1766,998,2555
Boyacá,Sutamarchán,6092,3021,1945,5755
Boyacá,Sutatenza,4233,2111,1309,3501
Boyacá,Tasco,5882,3131,1852,5150
Boyacá,Tenza,3851,2932,1372,3461
Boyacá,Tibaná,9051,4855,2813,7966
Boyacá,Tibasosa,12940,5000,3620,11023
Boyacá,Tinjacá,3266,1694,1063,2869
Boyacá,Tipacoque,3323,1447,1160,3154
Boyacá,Toca,8767,3790,2749,8707
Boyacá,Togüí,4335,1940,1379,4224
Boyacá,Tópaga,3617,1656,1172,3531
Boyacá,Tota,5179,2941,1436,4530
Boyacá,Tununguá,1540,623,526,1526
Boyacá,Turmequé,6118,2887,2046,5856
Boyacá,Tuta,8266,3774,2605,8154
Boyacá,Tutazá,2040,1060,592,1794
Boyacá,Umbita,7530,3776,2427,6905
Boyacá,Ventaquemada,15706,5608,4395,13984
Boyacá,Viracachá,2837,2079,941,2582
Boyacá,Zetaquira,4629,2445,1582,4301
Caldas,Manizales,434403,158396,136806,400436
Caldas,Aguadas,22823,8617,6955,20712
Caldas,Anserma,36149,13845,10850,31811
Caldas,Aranzazu,10557,4166,3368,9854
Caldas,Belalcázar,10660,3897,3161,9690
Caldas,Chinchiná,51271,17846,15860,48484
Caldas,Filadelfia,11451,4295,3383,9630
Caldas,La Dorada,71905,28338,23117,70802
Caldas,La Merced,6003,2744,1902,5325
Caldas,Manzanares,17928,7281,5813,16532
Caldas,Marmato,8888,3265,2682,8485
Caldas,Marquetalia,13245,5172,4344,12146
Caldas,Marulanda,2607,1097,746,2081
Caldas,Neira,21024,8590,6434,20495
Caldas,Norcasia,6022,2450,1971,5949
Caldas,Pácora,15325,5772,4631,13214
Caldas,Palestina,15555,6960,4515,13560
Caldas,Pensilvania,19908,9002,6044,17342
Caldas,Riosucio,50775,16970,14481,48329
Caldas,Risaralda,10815,3647,3313,9840
