Location,Department-2018,Municipality-2018,Total 2018,Housing units 2018,Households 2018,People 2018,Total 2005,Households 2005,var_pop,var_households,household/housing ratio,location,point,latitude,longitude,altitude
"Entrerrios, Antioquia",Antioquia,Entrerrios,11159,3903,2799,8820,8452,2131.0,0.021602586449231298,0.021196195990686784,0.717140661029977,"Entrerríos, Norte, Antioquia, Región Andina, Colombia","(6.59290725, -75.56332038980507, 0.0)",6.59290725,-75.56332038980507,0.0
"Envigado, Antioquia",Antioquia,Envigado,228848,81472,74474,212437,175337,49052.0,0.020699648860336373,0.03264213858581977,0.9141054595443834,"Envigado, Valle de Aburrá, Antioquia, Región Andina, 055422, Colombia","(6.1701348, -75.587415, 0.0)",6.1701348,-75.587415,0.0
"Fredonia, Antioquia",Antioquia,Fredonia,24408,9147,6674,18790,22581,6277.0,0.006002721689148061,0.0047286233581200765,0.7296381327211108,"Fredonia, Suroeste, Antioquia, Región Andina, Colombia","(5.87507465, -75.69080712475974, 0.0)",5.87507465,-75.69080712475974,0.0
"Frontino, Antioquia",Antioquia,Frontino,20739,7445,5963,20156,18573,4581.0,0.008521260417897025,0.02048832340810547,0.8009402283411685,"Frontino, Occidente, Antioquia, Región Andina, Colombia","(6.6762904, -76.37720094861334, 0.0)",6.6762904,-76.37720094861334,0.0
"Giraldo, Antioquia",Antioquia,Giraldo,5544,2324,1685,5057,4146,1014.0,0.022603382471028777,0.03983948339998644,0.7250430292598967,"Giraldo, Occidente, Antioquia, Región Andina, Colombia","(6.6726117, -75.94175515655189, 0.0)",6.6726117,-75.94175515655189,0.0
"Girardota, Antioquia",Antioquia,Girardota,51662,17815,15344,49045,42818,11019.0,0.014548188566075648,0.025796616048095355,0.8612966601178782,"Girardota, Valle de Aburrá, Antioquia, Región Andina, Colombia","(6.3757634, -75.44053710521231, 0.0)",6.3757634,-75.44053710521231,0.0
"Gómez Plata, Antioquia",Antioquia,Gómez Plata,9753,4473,2991,8235,11229,2607.0,-0.01078182322571375,0.01062587669085624,0.6686787391012743,"Gómez Plata, Norte, Antioquia, Región Andina, Colombia","(6.71165105, -75.18522864936779, 0.0)",6.71165105,-75.18522864936779,0.0
"Granada, Antioquia",Antioquia,Granada,10117,6405,3252,9204,9436,2831.0,0.005374778394576785,0.01072169951688573,0.507728337236534,"Granada, Oriente, Antioquia, Región Andina, Colombia","(6.1266667, -75.12898939342249, 0.0)",6.1266667,-75.12898939342249,0.0
"Guadalupe, Antioquia",Antioquia,Guadalupe,6560,2143,1856,5452,6191,1544.0,0.004463314001952101,0.014258167273516253,0.8660755949603359,"Guadalupe, Norte, Antioquia, Región Andina, Colombia","(6.8729183, -75.21952513694976, 0.0)",6.8729183,-75.21952513694976,0.0
"Guarne, Antioquia",Antioquia,Guarne,55121,21120,13196,42500,39753,10453.0,0.025460682920541267,0.018086596262344212,0.624810606060606,"Guarne, Oriente, Antioquia, Región Andina, 050001, Colombia","(6.272654, -75.43925679397356, 0.0)",6.272654,-75.43925679397356,0.0
